,fips,county_name,school,school_date,school_url,work,work_date,work_url,shelter,shelter_date,shelter_url,shelter_enforcement,shelter_enforcement_date,shelter_enforcement_url,event,event_date,event_url,testing,testing_date,testing_url,transport,transport_date,transport_url,work_2,work_2_date,work_2_url,shelter_2,shelter_2_date,shelter_2_url
179,6115,"Yuba County, California",True,03/17/2020,https://www.yubacoe.org/covid-19,True,03/19/2020,https://covid19.ca.gov/essential-workforce/,True,03/19/2020,https://covid19.ca.gov/stay-home-except-for-essential-needs/#top,False,07/28/2020,N/A,True,03/04/2020,https://www.yuba.org/coronavirus/California_Order.php,True,03/17/2020,https://sacramento.cbslocal.com/2020/03/17/coronavirus-test-sites-sutter-yuba-counties/,False,07/28/2020,N/A,False,05/08/2020,https://www.ocregister.com/2020/04/23/when-stay-at-home-orders-are-set-to-end-in-all-58-california-counties/,True,06/21/2020,https://www.yuba.org/coronavirus/stay_at_home_order.php
180,8001,"Adams County, Colorado",True,03/16/2020,https://www.9news.com/article/news/health/coronavirus/27j-schools-closed-after-positive-covid-19-test/73-a398322c-1462-4bb7-ac22-107b10ba7341,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,http://www.adcogov.org/news/adams-county-now-under-statewide-stay-home-public-health-order,True,03/26/2020,https://www.denverpost.com/2020/03/25/colorado-coronavirus-quarantine-stay-home-order-enforcement/,True,03/16/2020,http://www.adcogov.org/coronavirus-community-resources,True,02/28/2020,https://www.reporterherald.com/2020/03/14/colorado-coronavirus-new-cases-drive-thru-high-volume/,False,07/26/2020,N/A,False,04/27/2020,https://www.denverpost.com/2020/04/25/colorado-counties-stay-home-orders-coronavirus-covid/,False,04/26/2020,https://coloradosun.com/2020/04/20/colorado-safer-at-home-period/
181,8005,"Arapahoe County, Colorado",True,03/23/2020,https://www.arapahoegov.com/2097/Known-Closures-within-the-County,True,03/25/2020,https://www.tchd.org/DocumentCenter/View/6965/Stay-At-Home-Public-Health-Order-,True,03/25/2020,https://www.tchd.org/DocumentCenter/View/6965/Stay-At-Home-Public-Health-Order-,True,03/25/2020,https://www.denverpost.com/2020/03/25/colorado-coronavirus-quarantine-stay-home-order-enforcement/,True,03/25/2020,https://www.tchd.org/DocumentCenter/View/6965/Stay-At-Home-Public-Health-Order-,True,02/28/2020,https://durangoherald.com/articles/317575,False,07/26/2020,N/A,False,04/27/2020,https://www.denverpost.com/2020/04/25/colorado-counties-stay-home-orders-coronavirus-covid/,False,04/26/2020,https://coloradosun.com/2020/04/20/colorado-safer-at-home-period/
182,8013,"Boulder County, Colorado",True,03/13/2020,https://www.bvsd.org/about/news/news-article/~board/district-news/post/all-field-trips-and-non-essential-activities-canceled-1584060348042,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.denverpost.com/2020/03/25/colorado-coronavirus-quarantine-stay-home-order-enforcement/,True,03/16/2020,https://www.dailycamera.com/2020/03/16/boulder-weighing-limits-on-public-gathering-places-businesses-as-virus-response-ramps-up/,True,02/27/2020,https://coloradosun.com/2020/04/09/colorado-first-coronavirus-case-testing-january-2020/,False,07/26/2020,N/A,False,04/27/2020,https://www.denverpost.com/2020/04/25/colorado-counties-stay-home-orders-coronavirus-covid/,False,04/26/2020,https://coloradosun.com/2020/04/20/colorado-safer-at-home-period/
183,8014,"Broomfield County, Colorado",True,03/23/2020,https://www.arapahoegov.com/2097/Known-Closures-within-the-County,True,03/24/2020,https://drive.google.com/file/d/1LQpL1oDurg4Iiasq_d6Cu_v2zM_0IMd3/view,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.denverpost.com/2020/03/25/colorado-coronavirus-quarantine-stay-home-order-enforcement/,True,03/23/2020,https://www.dailycamera.com/2020/03/22/colorado-new-coronavirus-cases-march-22/,True,02/28/2020,https://durangoherald.com/articles/317575,False,07/26/2020,N/A,False,04/27/2020,https://www.denverpost.com/2020/04/25/colorado-counties-stay-home-orders-coronavirus-covid/,False,04/26/2020,https://coloradosun.com/2020/04/20/colorado-safer-at-home-period/
184,8015,"Chaffee County, Colorado",True,03/16/2020,http://www.chaffeecountytimes.com/free_content/covid_19/closures/salida-schools-closing-march-16-20/article_6a76e23a-6579-11ea-ba34-2fe1894ca07f.html,True,03/19/2020,https://www.facebook.com/COVID19ChaffeeCounty/photos/pcb.117516393198709/117516203198728/?type=3&theater,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.denverpost.com/2020/03/25/colorado-coronavirus-quarantine-stay-home-order-enforcement/,True,03/18/2020,http://www.chaffeecountytimes.com/free_content/chaffee-county-public-health-director-orders-restrictions/article_452dce34-693a-11ea-a48a-9bad0027fcda.html,True,03/21/2020,https://denver.cbslocal.com/2020/03/20/coloradao-coronavirus-salida-site/,False,07/26/2020,N/A,False,05/01/2020,http://www.chaffeecountytimes.com/free_content/chaffee-county-responds-to-governor-s-safer-at-home-covid-19/article_cc997410-8689-11ea-a69d-97a95fe6e745.html,True,05/01/2020,http://www.chaffeecountytimes.com/free_content/chaffee-county-responds-to-governor-s-safer-at-home-covid-19/article_cc997410-8689-11ea-a69d-97a95fe6e745.html
185,8029,"Delta County, Colorado",True,03/16/2020,"http://www.deltaschools.com/district-articles.php?q=1133#:~:text=March%2015th%2C%202020,the%20safety%20of%20our%20community.",True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.denverpost.com/2020/03/25/colorado-coronavirus-quarantine-stay-home-order-enforcement/,True,03/13/2020,https://durangoherald.com/articles/318114,True,02/27/2020,https://coloradosun.com/2020/04/09/colorado-first-coronavirus-case-testing-january-2020/,False,07/26/2020,N/A,False,05/04/2020,http://deltacounty.com/DocumentCenter/View/11710/Delta-County-Safer-At-Home-Phase-Business-Reopening-Plan,False,05/04/2020,http://deltacounty.com/DocumentCenter/View/11710/Delta-County-Safer-At-Home-Phase-Business-Reopening-Plan
186,8031,"Denver County, Colorado",True,03/16/2020,https://www.cpr.org/2020/03/12/aurora-public-schools-appears-ready-to-go-on-extended-break-due-to-coronavirus-concerns/,True,03/24/2020,https://www.bizjournals.com/denver/news/2020/03/23/denver-stay-at-home-order.html,True,03/24/2020,https://www.bizjournals.com/denver/news/2020/03/23/denver-stay-at-home-order.html,True,03/24/2020,https://www.grsm.com/publications/2020/colorado-in-person-reduction-and-stay-at-home-orders-create-layered-obligations-for-employers,True,03/16/2020,https://denver.cbslocal.com/2020/03/16/coronavirus-denver-prohibits-large-group-gatherings/,True,02/27/2020,https://www.9news.com/article/news/health/coronavirus/blog-tracking-the-coronavirus-updates-in-colorado/73-04e8ea80-a29b-418c-98cd-aa9bc61838dc,False,07/26/2020,N/A,False,05/08/2020,https://www.greeleytribune.com/2020/04/28/businesses-creak-to-life-as-colorados-stay-at-home-order-lifts/,False,05/08/2020,https://www.greeleytribune.com/2020/04/28/businesses-creak-to-life-as-colorados-stay-at-home-order-lifts/
187,8035,"Douglas County, Colorado",True,03/16/2020,"https://parkerchronicle.net/stories/covid-19-prompts-douglas-county-school-district-to-extend-spring-break,296196",True,03/26/2020,https://www.tchd.org/DocumentCenter/View/6965/Stay-At-Home-Public-Health-Order-,True,03/26/2020,https://www.tchd.org/DocumentCenter/View/6965/Stay-At-Home-Public-Health-Order-,True,03/26/2020,https://www.tchd.org/DocumentCenter/View/6965/Stay-At-Home-Public-Health-Order-,True,03/26/2020,https://www.tchd.org/DocumentCenter/View/6965/Stay-At-Home-Public-Health-Order-,True,02/28/2020,https://durangoherald.com/articles/317575,False,07/26/2020,N/A,False,05/01/2020,https://www.douglas.co.us/documents/re-opening-plan-signed-by-all-partners.pdf/,False,05/01/2020,https://www.douglas.co.us/documents/re-opening-plan-signed-by-all-partners.pdf/
188,8037,"Eagle County, Colorado",True,03/16/2020,https://www.vaildaily.com/news/eagle-county-schools-cmc-closing-for-coronavirus-precautions/,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.cpr.org/2020/03/25/colorado-coronavirus-updates-closures-testing-cases-and-more-10/,True,03/26/2020,https://www.denverpost.com/2020/03/25/colorado-coronavirus-quarantine-stay-home-order-enforcement/,True,03/12/2020,https://www.eaglecounty.us/PublicHealth/News/Eagle_County_issues_public_health_order_limiting_events_to_50_people_or_less/,True,03/07/2020,https://www.vaildaily.com/news/state-covid-19-testing-overwhelmed-impacting-eagle-county-hot-spot/,False,07/27/2020,N/A,False,04/27/2020,https://www.greeleytribune.com/2020/04/28/businesses-creak-to-life-as-colorados-stay-at-home-order-lifts/,False,04/27/2020,https://www.greeleytribune.com/2020/04/28/businesses-creak-to-life-as-colorados-stay-at-home-order-lifts/
